crop_name,state,temp_min_c,temp_max_c,ideal_n,ideal_p,ideal_k,ph_min,ph_max,soil_moisture_min,soil_moisture_max
Cotton,Odisha,20,38,90,45,45,6.0,7.5,30,60
Sugarcane,Odisha,20,38,180,90,90,6.0,7.8,60,95
Soybean,Odisha,20,30,30,60,40,6.0,7.0,40,70
Groundnut,Odisha,22,32,25,50,75,6.0,7.5,40,70
Pulses,Odisha,18,30,20,40,20,6.0,7.5,30,60
Millets,Odisha,20,35,40,20,20,5.5,7.5,20,50
Vegetables,Odisha,15,30,120,60,60,5.5,7.0,50,80
Rice,Punjab,20,35,120,60,60,5.5,7.0,60,95
Wheat,Punjab,10,25,120,60,40,6.0,7.5,40,70
Maize,Punjab,18,32,100,50,50,5.8,7.2,40,70
Cotton,Punjab,20,38,90,45,45,6.0,7.5,30,60
Sugarcane,Punjab,20,38,180,90,90,6.0,7.8,60,95
Soybean,Punjab,20,30,30,60,40,6.0,7.0,40,70
Groundnut,Punjab,22,32,25,50,75,6.0,7.5,40,70
Pulses,Punjab,18,30,20,40,20,6.0,7.5,30,60
Millets,Punjab,20,35,40,20,20,5.5,7.5,20,50
Vegetables,Punjab,15,30,120,60,60,5.5,7.0,50,80
Rice,Rajasthan,20,35,120,60,60,5.5,7.0,60,95
Wheat,Rajasthan,10,25,120,60,40,6.0,7.5,40,70
Maize,Rajasthan,18,32,100,50,50,5.8,7.2,40,70
Cotton,Rajasthan,20,38,90,45,45,6.0,7.5,30,60
Sugarcane,Rajasthan,20,38,180,90,90,6.0,7.8,60,95
Soybean,Rajasthan,20,30,30,60,40,6.0,7.0,40,70
Groundnut,Rajasthan,22,32,25,50,75,6.0,7.5,40,70
Pulses,Rajasthan,18,30,20,40,20,6.0,7.5,30,60
Millets,Rajasthan,20,35,40,20,20,5.5,7.5,20,50
Vegetables,Rajasthan,15,30,120,60,60,5.5,7.0,50,80
Rice,Tamil Nadu,20,35,120,60,60,5.5,7.0,60,95
Wheat,Tamil Nadu,10,25,120,60,40,6.0,7.5,40,70
Maize,Tamil Nadu,18,32,100,50,50,5.8,7.2,40,70
Cotton,Tamil Nadu,20,38,90,45,45,6.0,7.5,30,60
Sugarcane,Tamil Nadu,20,38,180,90,90,6.0,7.8,60,95
Soybean,Tamil Nadu,20,30,30,60,40,6.0,7.0,40,70
Groundnut,Tamil Nadu,22,32,25,50,75,6.0,7.5,40,70
Pulses,Tamil Nadu,18,30,20,40,20,6.0,7.5,30,60
Millets,Tamil Nadu,20,35,40,20,20,5.5,7.5,20,50
Vegetables,Tamil Nadu,15,30,120,60,60,5.5,7.0,50,80
Rice,Telangana,20,35,120,60,60,5.5,7.0,60,95
Wheat,Telangana,10,25,120,60,40,6.0,7.5,40,70
Maize,Telangana,18,32,100,50,50,5.8,7.2,40,70
Cotton,Telangana,20,38,90,45,45,6.0,7.5,30,60
Sugarcane,Telangana,20,38,180,90,90,6.0,7.8,60,95
Soybean,Telangana,20,30,30,60,40,6.0,7.0,40,70
Groundnut,Telangana,22,32,25,50,75,6.0,7.5,40,70
Pulses,Telangana,18,30,20,40,20,6.0,7.5,30,60
Millets,Telangana,20,35,40,20,20,5.5,7.5,20,50
Vegetables,Telangana,15,30,120,60,60,5.5,7.0,50,80
Rice,Uttar Pradesh,20,35,120,60,60,5.5,7.0,60,95
Wheat,Uttar Pradesh,10,25,120,60,40,6.0,7.5,40,70
Maize,Uttar Pradesh,18,32,100,50,50,5.8,7.2,40,70
Cotton,Uttar Pradesh,20,38,90,45,45,6.0,7.5,30,60
Sugarcane,Uttar Pradesh,20,38,180,90,90,6.0,7.8,60,95
Soybean,Uttar Pradesh,20,30,30,60,40,6.0,7.0,40,70
Groundnut,Uttar Pradesh,22,32,25,50,75,6.0,7.5,40,70
Pulses,Uttar Pradesh,18,30,20,40,20,6.0,7.5,30,60
Millets,Uttar Pradesh,20,35,40,20,20,5.5,7.5,20,50
Vegetables,Uttar Pradesh,15,30,120,60,60,5.5,7.0,50,80
Rice,Uttarakhand,20,35,120,60,60,5.5,7.0,60,95
Wheat,Uttarakhand,10,25,120,60,40,6.0,7.5,40,70
Maize,Uttarakhand,18,32,100,50,50,5.8,7.2,40,70
Cotton,Uttarakhand,20,38,90,45,45,6.0,7.5,30,60
Sugarcane,Uttarakhand,20,38,180,90,90,6.0,7.8,60,95
Soybean,Uttarakhand,20,30,30,60,40,6.0,7.0,40,70
Groundnut,Uttarakhand,22,32,25,50,75,6.0,7.5,40,70
Pulses,Uttarakhand,18,30,20,40,20,6.0,7.5,30,60
Millets,Uttarakhand,20,35,40,20,20,5.5,7.5,20,50
Vegetables,Uttarakhand,15,30,120,60,60,5.5,7.0,50,80
Rice,West Bengal,20,35,120,60,60,5.5,7.0,60,95
Wheat,West Bengal,10,25,120,60,40,6.0,7.5,40,70
Maize,West Bengal,18,32,100,50,50,5.8,7.2,40,70
Cotton,West Bengal,20,38,90,45,45,6.0,7.5,30,60
Sugarcane,West Bengal,20,38,180,90,90,6.0,7.8,60,95
Soybean,West Bengal,20,30,30,60,40,6.0,7.0,40,70
Groundnut,West Bengal,22,32,25,50,75,6.0,7.5,40,70
Pulses,West Bengal,18,30,20,40,20,6.0,7.5,30,60
Millets,West Bengal,20,35,40,20,20,5.5,7.5,20,50
Vegetables,West Bengal,15,30,120,60,60,5.5,7.0,50,80
